iter	RMSE
634	0.3581112572
635	0.3580367975
636	0.3579482601
637	0.3577108338
638	0.3575984717
639	0.3574616737
640	0.357307016
641	0.3572347681
642	0.3569022865
643	0.3567473523
644	0.356659973
645	0.3565457958
646	0.3564227549
647	0.356279318
648	0.3561973872
649	0.3560762101
650	0.3559617532
651	0.3557944526
652	0.355653728
653	0.3555501263
654	0.355445017
655	0.3553441624
656	0.3551138896
657	0.3550152167
658	0.3548757469
659	0.3547535507
660	0.3545840417
661	0.3544179508
662	0.3542844213
663	0.3542360701
664	0.3541324407
665	0.3539797819
666	0.3538944174
667	0.3538575997
668	0.3537729275
669	0.3536116064
670	0.3534593647
671	0.3532572974
672	0.3531316314
673	0.3529757375
674	0.3528191172
675	0.3526445089
676	0.3524851459
677	0.3523494096
678	0.3521567679
679	0.3520507222
680	0.3518026437
681	0.3516944307
682	0.3514981563
683	0.3514071095
684	0.3512852825
685	0.3511660776
686	0.3509756283
687	0.3508431358
688	0.3507384281
689	0.3505781911
690	0.3504625929
691	0.3503584281
692	0.3502077181
693	0.3501193845
694	0.3500375987
695	0.3498866495
696	0.3497503307
697	0.3496286328
698	0.3494749676
699	0.349343539
700	0.3492364115
701	0.3491778811
702	0.3491059628
703	0.3490515269
704	0.3489494846
705	0.348810368
706	0.3486694713
707	0.3485271217
708	0.3483517871
709	0.3482559063
710	0.3481494986
711	0.3478782081
712	0.3477146391
713	0.3475797748
714	0.3474347966
715	0.3472895324
716	0.347054956
717	0.3469737419
718	0.3467899614
719	0.3466744782
720	0.3465483114
721	0.3464478779
722	0.3463484992
723	0.3462784376
724	0.3461674345
725	0.3461167213
726	0.3460406103
727	0.3459027973
728	0.3456835263
729	0.345541071
730	0.3454360217
731	0.3452782293
732	0.3451993683
733	0.3450891956
734	0.3449107688
735	0.3448306386
736	0.3446676868
737	0.3445096574
738	0.344440179
739	0.3442956231
740	0.3442680147
741	0.3440880588
742	0.3439199687
743	0.3437883603
744	0.343679663
745	0.3435441881
746	0.3434207646
747	0.3433585758
748	0.3432538591
749	0.3431393366
750	0.3430516484
751	0.3429582294
752	0.342848315
753	0.3427411907
754	0.3426100974
755	0.3425598456
756	0.3424476985
757	0.3424008758
758	0.3423240093
759	0.3421192295
760	0.3420419358
761	0.3419611393
762	0.3417696729
763	0.3416083547
764	0.3414745031
765	0.3413458286
766	0.3412811051
767	0.3411477267
768	0.3410629608
769	0.3410104753
770	0.340888056
771	0.3407214759
772	0.3406029411
773	0.340456068
774	0.3403219372
775	0.3402855857
776	0.3402149459
777	0.3401368118
778	0.3400576704
779	0.3399508859
780	0.3398428228
781	0.3397437252
782	0.3396302417
783	0.3395526275
784	0.3394290962
785	0.3393181716
786	0.339239695
787	0.3390709644
788	0.3389699489
789	0.3388624234
790	0.3386953292
791	0.3386007961
792	0.338523063
793	0.3384141291
794	0.3383070441
795	0.3382307259
796	0.3380776855
797	0.3380340316
798	0.3380150906
799	0.3379057352
800	0.3377811712
801	0.3377000268
802	0.3375525061
803	0.3375157538
804	0.3373505649
805	0.3372739155
806	0.3372339247
807	0.3371463206
808	0.3370602156
809	0.3369574635
810	0.3368547887
811	0.3365955754
812	0.3365210512
813	0.33636504
814	0.3361990457
815	0.3361209011
816	0.3360385384
817	0.3358895528
818	0.3357362187
819	0.3356179207
820	0.3355193007
821	0.3354186762
822	0.3353609358
823	0.3351970061
824	0.3351386782
825	0.3350775486
826	0.3350155204
827	0.334922891
828	0.3348741571
829	0.3347926847
830	0.3347565387
831	0.3346870932
832	0.3346205255
833	0.3345598478
834	0.3344098926
835	0.3343519571
836	0.3342179149
837	0.3340788725
838	0.334004954
839	0.3339392152
840	0.333842628
841	0.3337458242
842	0.3336616563
843	0.3336098692
844	0.3334162276
845	0.3333623527
846	0.333262093
847	0.3331802766
848	0.3330833056
849	0.3329445387
850	0.3328681168
851	0.332733795
852	0.3326399339
853	0.3325521728
854	0.3324358574
855	0.3323946746
856	0.3323242352
857	0.3322075255
858	0.3321376923
859	0.3320463898
860	0.3319421943
861	0.3318257931
862	0.3316939139
863	0.3315249832
864	0.3314011562
865	0.331237573
866	0.3311302263
867	0.3310437077
868	0.3309177849
869	0.3307988045
870	0.3306480743
871	0.330554028
872	0.3303988811
873	0.3303419078
874	0.3302255505
875	0.3301646691
876	0.3300349166
877	0.3299567276
878	0.3297201721
879	0.3296561046
880	0.3295612693
881	0.3294664077
882	0.3294003137
883	0.3292884492
884	0.3291675925
885	0.329054904
886	0.3290279338
887	0.3288444105
888	0.3287004244
889	0.3285852061
890	0.3284438018
891	0.328342447
892	0.328239848
893	0.3281258913
894	0.3280267228
895	0.3279484152
896	0.3278859096
897	0.3277399311
898	0.3276748226
899	0.3275325121
900	0.3274613084
901	0.3273553828
902	0.3273318537
903	0.3272840163
904	0.3272303491
905	0.3271501248
906	0.327040366
907	0.3268952306
908	0.3268199762
909	0.3267027444
910	0.3266252073
911	0.3265337103
912	0.3264355777
913	0.3263413553
914	0.3262965506
915	0.3261530418
916	0.3260678825
917	0.3259120621
918	0.3258296174
919	0.3257568762
920	0.3256956697
921	0.3256211153
922	0.3255473622
923	0.3254797762
924	0.3254085337
925	0.3252897405
926	0.3252072303
927	0.3251762592
928	0.3250906142
929	0.3249929209
930	0.3248760509
931	0.3247798837
932	0.3246638412
933	0.324577699
934	0.3244965597
935	0.3244092839
936	0.3242903367
937	0.3242139075
938	0.3241555246
939	0.3240903183
940	0.3240265282
941	0.3239358567
942	0.3238266366
943	0.3237254052
944	0.3236844699
945	0.3236098592
946	0.3234885343
947	0.3233909192
948	0.3233534979
949	0.3232500836
950	0.3231466176
951	0.3230207788
952	0.3229360908
953	0.3228423183
954	0.3226303979
955	0.322567782
956	0.322500456
957	0.3223999344
958	0.322304618
959	0.3222032439
960	0.3221600171
961	0.3221197573
962	0.3220462488
963	0.3219447976
964	0.3218670602
965	0.3217945923
966	0.3217176452
967	0.3216021649
968	0.3215330006
969	0.3214598119
970	0.3213523223
971	0.3212961115
972	0.3211785967
973	0.3210801598
974	0.3209990698
975	0.3208942215
976	0.3208039358
977	0.3207081269
978	0.3205936161
979	0.3205263093
980	0.3204212569
981	0.3203791389
982	0.3203296658
983	0.320219907
984	0.3201122501
985	0.3200316146
986	0.319921959
987	0.3198563146
988	0.3197552557
989	0.319651166
990	0.3195749331
991	0.3194584234
992	0.3193573263
993	0.3192510978
994	0.3190922841
995	0.3189791072
996	0.3189033145
997	0.3188401625
998	0.3187767277
999	0.3186731048
1000	0.318496477
1001	0.3183977477
1002	0.3183138759
1003	0.3182421355
1004	0.3181526234
1005	0.3180514922
1006	0.3180223627
1007	0.3179109929
1008	0.3178223905
1009	0.3177670049
1010	0.3177057038
1011	0.3175963114
1012	0.317482277
1013	0.3173851434
1014	0.3172780245
1015	0.3171696606
1016	0.3171172602
1017	0.3170357525
1018	0.3169594703
1019	0.3168451134
1020	0.3167673165
1021	0.3166751539
1022	0.3165712864
1023	0.3164827975
1024	0.3164107688
1025	0.3163283081
1026	0.3162356013
1027	0.3161339712
1028	0.3160238588
1029	0.3159544144
1030	0.3158389674
1031	0.3157236448
1032	0.3156317377
1033	0.3155132763
1034	0.3154638632
1035	0.3153862987
1036	0.3152990739
1037	0.3152205541
1038	0.3151173251
1039	0.315030907
1040	0.3149616222
1041	0.3148160858
1042	0.3147489316
1043	0.3144999251
1044	0.3144236782
1045	0.3143178638
1046	0.3142287232
1047	0.314166263
1048	0.3140855243
1049	0.3139690225
1050	0.3138988572
1051	0.313783384
1052	0.3136772691
1053	0.3136140196
1054	0.3135123691
1055	0.3134012834
1056	0.3133444651
1057	0.3132815562
1058	0.3132398077
1059	0.31315817
1060	0.3130582768
1061	0.3129543735
1062	0.3128645316
1063	0.3127792427
1064	0.3125550326
1065	0.3124548718
1066	0.312375276
1067	0.3123188677
1068	0.3122368978
1069	0.3121194698
1070	0.3119695045
1071	0.3118927596
1072	0.3118261315
1073	0.3117829957
1074	0.3117446882
1075	0.3116296943
1076	0.3115364991
1077	0.3114227771
1078	0.3113143242
1079	0.3111797532
1080	0.3110486783
1081	0.310936505
1082	0.3108403243
1083	0.3108061387
1084	0.3107426934
1085	0.310690805
1086	0.3105801952
1087	0.3104666021
1088	0.3103973234
1089	0.3102911353
1090	0.3101272958
1091	0.3100821631
1092	0.309982617
1093	0.3099482706
